Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,extra_0,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,Gls,Ast,G+A,G-PK,G+A-PK,extra_1
32,Tolu Arokodare,ng NGA,FW,Wolves,24,2000,15.8,0.06,0.00,0.00,1.14,1.08,0.38,0.00,0.32,0.25,,,0.00,Matches,,33,13,1,15.8,0.19,0.06,0.25,0.19,0.00,0.00,0.19,0.06,0.25,0.19,
33,Kepa Arrizabalaga,es ESP,GK,Arsenal,30,1994,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,Matches,,1,1,90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
34,Taiwo Awoniyi,ng NGA,FW,Nottingham Forest,27,1997,5.5,0.36,0.00,0.00,1.82,1.27,1.09,0.18,0.18,0.18,,,0.00,Matches,,17,3,494,0.73,0.18,0.91,0.73,0.00,0.00,0.73,0.18,0.91,0.73,0.91,
35,Yasin Ayari,se SWE,MF,Brighton,21,2003,21.4,0.05,0.00,0.00,1.12,1.31,0.00,1.12,1.21,1.17,,,0.00,Matches,,29,20,1,21.4,0.14,0.14,0.28,0.14,0.00,0.00,0.14,0.14,0.28,0.14,
36,Benoît Badiashile,fr FRA,DF,Chelsea,24,2001,5.2,0.38,0.00,0.00,1.15,0.38,0.00,0.00,1.73,0.96,,,0.00,Matches,,8,6,471,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
37,Leon Bailey,jm JAM,MF,Aston Villa,27,1997,5.1,0.20,0.00,0.00,1.18,0.98,0.20,3.73,0.78,1.18,,,0.00,Matches,,13,3,459,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,
38,Dilane Bakwa,fr FRA,MF,Nottingham Forest,22,2002,6.1,0.16,0.00,0.00,1.48,2.30,0.00,6.23,0.00,0.49,,,0.00,Matches,,14,6,553,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.33,
39,Carlos Baleba,cm CMR,MF,Brighton,21,2004,18.4,0.27,0.00,0.00,1.68,1.30,0.00,0.00,1.52,1.14,,,0.00,Matches,,31,23,1,18.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40,Daniel Ballard,nir NIR,DF,Sunderland,25,1999,23.9,0.17,0.04,0.00,1.21,1.21,0.13,0.04,0.84,0.71,,,0.00,Matches,,29,24,2,23.9,0.08,0.00,0.08,0.08,0.00,0.04,0.08,0.00,0.08,0.08,
41,Ross Barkley,eng ENG,MF,Aston Villa,31,1993,9.5,0.11,0.00,0.00,0.95,0.84,0.00,0.00,0.21,1.16,,,0.00,Matches,,21,7,857,0.32,0.11,0.42,0.32,0.00,0.00,0.32,0.11,0.42,0.32,0.42,
