player_name,Nation,Pos,Squad,Age,Born,Appearances,Starts,Min,90s,Goals,Assists,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,position
Jarrod Bowen,eng ENG,MF,FW,West Ham United,28,1996.0,38,38,1996,403.0,37.8,0.24,37.8,0.11,0.00,0.50,1.30,0.45,3.92,0.71,0.74,,,CM
Conor Bradley,nir NIR,DF,Liverpool,22,2003,15.0,12,929,10.3,0.0,0.1,0.10,0.49,0.00,1.75,1.94,0.10,2.23,1.17,1.46,,,0.00,CB
Jarrad Branthwaite,eng ENG,DF,Everton,23,2002,10.0,7,680,7.6,0.13,0.0,0.13,0.13,0.00,0.39,0.13,0.13,0.39,1.45,0.79,,,0.00,CB
Brian Brobbey,nl NED,FW,Sunderland,23,2002,31.0,22,1,21.4,21.4,0.33,0.05,0.28,0.00,1.54,1.73,0.37,0.09,0.0,0.09,,,0.00,ST
Armando Broja,al ALB,FW,Burnley,23,2001,24.0,8,860,9.6,0.1,0.1,0.21,0.00,0.00,1.46,1.67,0.63,0.31,0.31,0.31,,,0.00,IF
David Brooks,wls WAL,MF,Bournemouth,28,1997,31.0,13,1,13.4,13.4,0.07,0.22,0.52,0.00,0.82,0.97,0.15,4.40,0.3,0.97,,,0.00,CM
Jacob Bruun Larsen,dk DEN,MF,FW,Burnley,26,1998.0,28,10,1998,30.0,11.4,0.00,11.4,0.00,0.00,0.09,0.00,0.35,3.68,0.53,0.26,,,CM
Emi Buendía,ar ARG,MF,Aston Villa,28,1996,36.0,21,1,19.5,19.5,0.31,0.10,0.31,0.00,2.10,2.31,0.05,0.51,0.67,1.38,,,0.00,CM
Hugo Bueno,es ESP,MF,DF,Wolves,22,2002.0,35,26,2002,366.0,26.3,0.04,26.3,0.11,0.00,0.65,0.91,0.11,6.31,1.25,1.33,,,CM
Santiago Bueno,uy URU,DF,Wolves,26,1998,29.0,28,2,28.4,28.4,0.11,0.04,0.14,0.00,1.02,0.39,0.07,0.21,0.95,1.06,,,0.00,LB
Facundo Buonanotte,ar ARG,MF,Chelsea,20,2004,1.0,1,45,0.5,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,,,0.00,CM
Facundo Buonanotte,ar ARG,MF,Leeds United,20,2004,3.0,0,39,0.4,0.0,0.0,0.00,2.50,0.00,2.50,0.00,0.00,5.00,2.5,0.0,,,0.00,CM
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
Dan Burn,eng ENG,DF,Newcastle United,33,1992,29.0,25,2,24.4,24.4,0.04,0.08,0.45,0.04,1.48,0.53,0.12,0.57,0.82,1.07,,,0.00,LB
Bradley Burrowes,eng ENG,MF,Aston Villa,17,2008,1.0,0,17,0.2,0.0,0.0,0.00,0.00,0.00,0.00,5.00,0.00,15.0,0.0,0.0,,,0.00,CM
Jun'ai Byfield,eng ENG,DF,Tottenham Hotspur,16,2008,1.0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,,,0,LB
Sam Byram,eng ENG,DF,MF,Leeds United,31,1993.0,2,0,1993,0.1,0.0,0.00,0.1,0.00,0.00,10.0,0.00,10.0,0.0,0.0,10.0,,,LB
Moisés Caicedo,ec ECU,MF,Chelsea,23,2001,33.0,32,2,31.1,31.1,0.1,0.03,0.35,0.03,1.74,1.77,0.00,0.26,1.9,1.51,,,0.00,CM
Tom Cairney,sct SCO,MF,Fulham,34,1991,24.0,6,775,8.6,0.23,0.0,0.23,0.35,0.00,1.16,1.28,0.00,0.70,0.47,0.47,,,0.00,CM
Riccardo Calafiori,it ITA,DF,Arsenal,23,2002,26.0,22,1,18.9,18.9,0.05,0.11,0.26,0.00,1.38,0.53,0.21,1.11,0.69,1.01,,,0.00,LB
