player_name,Nation,Pos,Squad,Age,Born,Appearances,Starts,Min,90s,Goals,Assists,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,position
Tom Edozie,eng ENG,MF,Wolves,19,2006,3.0,0,14,0.2,5.0,0.0,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,,,0.00,CM
Alysson Edward,br BRA,MF,Aston Villa,19,2006,3.0,0,49,0.5,0.0,0.0,0.00,0.00,0.00,0.00,2.00,0.00,4.00,2.0,0.0,,,0.00,CM
Marcus Edwards,eng ENG,MF,FW,Burnley,26,1998.0,23,11,1998,67.0,11.9,0.08,11.9,0.00,0.00,0.59,1.51,0.08,1.6,0.25,0.50,,,CM
Hjalmar Ekdal,se SWE,DF,Burnley,26,1998,19.0,17,1,17.1,17.1,0.0,0.00,0.00,0.00,0.29,0.41,0.12,0.06,0.7,0.99,,,0.00,CM
Hugo Ekitike,fr FRA,FW,Liverpool,23,2002,28.0,21,1,20.0,20.0,0.55,0.20,0.00,0.00,1.75,0.60,0.50,0.35,0.2,0.35,,,0.00,ST
Anthony Elanga,se SWE,FW,MF,Newcastle United,23,2002.0,32,14,2002,319.0,14.7,0.00,14.7,0.00,0.00,0.54,1.70,0.14,5.65,0.2,0.75,,,IF
Melker Ellborg,se SWE,GK,Sunderland,22,2003,3.0,3,270,3.0,0.0,0.0,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.0,0.0,,,0.00,GK
Harvey Elliott,eng ENG,FW,MF,Liverpool,22,2003.0,1,0,2003,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,,,IF
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
Harvey Elliott,eng ENG,MF,Aston Villa,22,2003,4.0,1,112,1.2,0.0,0.0,0.00,0.00,0.00,0.00,1.67,0.00,2.50,0.0,0.0,,,0.00,CM
Wataru Endo,jp JPN,DF,Liverpool,32,1993,8.0,1,175,1.9,0.0,0.53,0.53,0.53,0.00,1.05,1.58,0.00,1.58,0.0,1.58,,,0.00,CM
Romain Esse,eng ENG,MF,Crystal Palace,20,2005,4.0,0,44,0.5,0.0,0.0,0.00,0.00,0.00,4.00,4.00,0.00,4.00,0.0,2.0,,,0.00,CM
Dario Essugo,pt POR,MF,Chelsea,20,2005,3.0,0,30,0.3,0.0,0.0,0.00,6.67,0.00,10.0,3.33,0.00,0.00,0.0,10.0,,,0.00,DM
Maxime Estève,fr FRA,DF,Burnley,23,2002,34.0,34,2,32.6,32.6,0.0,0.00,0.03,0.00,0.40,0.37,0.00,0.18,1.13,0.83,,,0.06,DM
Evanilson,br BRA,FW,Bournemouth,25,1999,36.0,32,2,30.5,30.5,0.2,0.03,0.07,0.00,0.85,1.21,0.92,0.10,0.2,0.16,,,0.00,ST
Eberechi Eze,eng ENG,MF,Crystal Palace,27,1998,1.0,1,83,0.9,0.0,0.0,0.00,0.00,0.00,2.22,1.11,0.00,4.44,0.0,1.11,,,0.00,DM
Eberechi Eze,eng ENG,MF,FW,Arsenal,27,1998.0,32,21,1998,812.0,20.1,0.35,20.1,0.05,0.00,0.70,1.89,0.05,0.4,0.55,0.65,,,CM
Bruno Fernandes,pt POR,MF,Manchester Utd,30,1994,35.0,35,3,34.0,34.0,0.26,0.62,0.15,0.00,0.71,1.03,0.12,5.32,0.62,1.03,,,0.00,CM
Mateus Fernandes,pt POR,MF,West Ham United,21,2004,36.0,35,3,33.5,33.5,0.09,0.12,0.21,0.00,1.46,1.46,0.00,1.52,1.07,2.0,,,0.00,CM
Enzo Fernández,ar ARG,MF,Chelsea,24,2001,36.0,35,3,34.6,34.6,0.29,0.12,0.29,0.00,1.04,1.30,0.03,2.57,0.58,0.69,,,0.00,CM
Zian Flemming,nl NED,FW,Burnley,26,1998,29.0,21,1,19.6,19.6,0.56,0.00,0.26,0.00,2.60,1.33,0.15,0.31,0.31,0.51,,,0.00,ST
Jack Fletcher,eng ENG,MF,Manchester Utd,18,2007,3.0,0,108,1.2,0.0,0.0,0.00,0.00,0.00,1.67,0.83,0.00,0.00,0.83,0.83,,,0.00,CM
Tyler Fletcher,sct SCO,MF,Manchester Utd,18,2007,2.0,0,18,0.2,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,,,0.00,CM
Phil Foden,eng ENG,MF,Manchester City,25,2000,33.0,23,2,23.2,23.2,0.3,0.22,0.17,0.00,0.78,1.34,0.13,5.13,0.43,0.69,,,0.00,CM
Wesley Fofana,fr FRA,DF,Chelsea,24,2000,25.0,20,1,19.1,19.1,0.0,0.05,0.47,0.10,1.41,0.89,0.05,0.10,1.99,0.58,,,0.00,LB
Lyle Foster,za RSA,FW,MF,Burnley,24,2000.0,26,15,2000,371.0,15.2,0.20,15.2,0.26,0.00,1.45,0.86,0.72,0.39,0.26,0.79,,,IF
Tyler Fredricson,eng ENG,DF,Manchester Utd,20,2005,1.0,0,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,,,0,LB
Jeremie Frimpong,nl NED,DF,MF,Liverpool,24,2000.0,21,12,2000,40.0,11.6,0.00,11.6,0.09,0.00,0.69,1.81,0.34,4.4,0.52,0.78,,,LB
Niclas Füllkrug,de GER,FW,West Ham United,32,1993,8.0,5,409,4.5,0.0,0.0,0.00,0.00,0.00,2.44,0.22,0.44,0.00,0.44,0.22,,,0.00,IF
Kaye Furo,be BEL,FW,Brentford,18,2007,1.0,0,1,0.0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,,,0,IF
Cody Gakpo,nl NED,MF,FW,Liverpool,26,1999.0,36,32,1999,737.0,30.4,0.23,30.4,0.10,0.00,1.38,1.45,0.99,2.83,0.39,0.49,,,CM
Conor Gallagher,eng ENG,MF,Tottenham Hotspur,25,2000,16.0,14,1,13.2,13.2,0.08,0.08,0.15,0.00,1.89,1.74,0.08,1.74,1.36,1.06,,,0.00,CM
Idrissa Gana Gueye,sn SEN,MF,Everton,35,1989,25.0,25,2,23.3,23.3,0.09,0.13,0.04,0.04,0.90,1.33,0.00,0.82,1.24,0.9,,,0.00,CM
Ben Gannon-Doak,sct SCO,MF,Bournemouth,19,2005,8.0,0,113,1.3,0.0,0.77,0.77,0.00,0.00,2.31,0.77,0.00,3.08,0.77,1.54,,,0.00,CM
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
Andrés García,es ESP,DF,Aston Villa,22,2003,6.0,1,86,1.0,0.0,0.0,0.00,0.00,0.00,1.00,0.00,0.00,4.00,0.0,4.0,,,0.00,LB
Alejandro Garnacho,ar ARG,MF,Chelsea,21,2004,24.0,14,1,14.1,14.1,0.07,0.28,0.14,0.00,0.64,1.63,0.14,4.33,0.28,0.92,,,0.00,CM
James Garner,eng ENG,MF,DF,Everton,24,2001.0,38,38,2001,413.0,37.9,0.05,37.9,0.32,0.00,1.03,1.11,0.00,5.41,1.5,1.90,,,CM
Lutsharel Geertruida,nl NED,DF,MF,Sunderland,25,2000.0,28,17,2000,693.0,18.8,0.00,18.8,0.11,0.00,0.80,0.37,0.05,0.48,1.06,1.17,,,LB
Tyrique George,eng ENG,FW,Chelsea,19,2006,4.0,0,145,1.6,0.0,0.0,0.00,1.25,0.00,3.75,0.63,1.25,0.63,0.0,1.25,,,0.00,IF
Tyrique George,eng ENG,MF,Everton,19,2006,11.0,1,218,2.4,0.0,0.0,0.00,0.00,0.00,1.25,0.42,0.83,4.17,0.83,1.25,,,0.00,CM
Morgan Gibbs-White,eng ENG,MF,Nottingham Forest,25,2000,37.0,35,3,34.4,34.4,0.44,0.12,0.03,0.00,0.76,1.19,0.15,1.22,0.35,0.47,,,0.00,CM
Jamie Gittens,eng ENG,MF,Chelsea,20,2004,16.0,5,495,5.5,0.0,0.36,0.36,0.00,0.00,1.09,1.45,0.36,2.36,0.36,0.73,,,0.00,CM
Wilfried Gnonto,it ITA,FW,Leeds United,21,2003,23.0,4,537,6.0,0.0,0.17,0.17,0.50,0.00,1.17,1.83,0.00,3.33,0.5,2.17,,,0.00,IF
Angel Gomes,eng ENG,MF,FW,Wolves,24,2000.0,12,7,2000,5.1,0.0,0.00,5.1,0.20,0.00,1.37,1.76,0.00,2.35,0.2,0.98,,,CM
João Gomes,br BRA,MF,Wolves,24,2001,35.0,32,2,31.4,31.4,0.03,0.03,0.32,0.00,2.20,1.56,0.03,0.99,1.15,2.17,,,0.00,CM
Rodrigo Gomes,pt POR,MF,FW,Wolves,22,2003.0,22,9,2003,10.7,0.28,0.00,10.7,0.00,0.00,0.56,0.75,0.28,2.24,1.03,1.68,,,CM
Toti Gomes,pt POR,DF,Wolves,26,1999,19.0,17,1,15.8,15.8,0.0,0.00,0.13,0.06,0.70,0.70,0.00,0.70,0.82,0.7,,,0.00,CB
Diego Gómez,py PAR,MF,FW,Brighton,22,2003.0,32,26,2003,120.0,23.6,0.21,23.6,0.38,0.00,2.08,0.47,0.04,0.97,0.81,2.08,,,CM
Joe Gomez,eng ENG,DF,Liverpool,28,1997,21.0,7,607,6.7,0.0,0.3,0.30,0.60,0.00,2.09,0.00,0.00,2.39,1.19,1.04,,,0.00,CB
Nicolás González,es ESP,MF,Manchester City,23,2002,25.0,17,1,17.4,17.4,0.06,0.00,0.34,0.00,1.72,1.03,0.00,0.17,1.38,1.72,,,0.00,CM
Anthony Gordon,eng ENG,FW,Newcastle United,24,2001,26.0,24,1,19.9,19.9,0.3,0.10,0.15,0.05,0.65,2.01,0.25,3.47,0.15,0.65,,,0.00,ST
Ryan Gravenberch,nl NED,MF,Liverpool,23,2002,36.0,34,2,33.2,33.2,0.15,0.09,0.15,0.00,1.14,1.27,0.00,0.24,1.33,1.05,,,0.00,CM
Archie Gray,eng ENG,MF,DF,Tottenham Hotspur,19,2006.0,24,18,2006,478.0,16.4,0.12,16.4,0.30,0.00,0.73,0.12,0.00,0.73,1.04,0.49,,,CM
Jack Grealish,eng ENG,MF,Everton,29,1995,20.0,18,1,18.1,18.1,0.11,0.33,0.28,0.06,0.72,3.20,0.00,2.15,0.61,0.83,,,0.00,CM
Pascal Groß,de GER,MF,Brighton,34,1991,19.0,18,1,18.2,18.2,0.05,0.16,0.11,0.00,0.93,0.66,0.22,6.54,0.6,0.93,,,0.00,CM
Brajan Gruda,de GER,MF,Brighton,21,2004,18.0,8,719,8.0,0.13,0.13,0.25,0.25,0.00,1.38,1.75,0.25,1.75,0.25,0.63,,,0.00,CM
Ilia Gruev,bg BUL,MF,Leeds United,25,2000,23.0,15,1,14.7,14.7,0.0,0.20,0.20,0.00,1.09,0.61,0.00,1.09,0.95,0.88,,,0.00,CM
Gabriel Gudmundsson,se SWE,DF,MF,Leeds United,26,1999.0,32,31,1999,631.0,29.2,0.00,29.2,0.21,0.03,1.06,1.92,0.10,3.01,0.96,1.61,,,LB
Marc Guéhi,eng ENG,DF,Crystal Palace,25,2000,20.0,20,1,20.0,20.0,0.1,0.10,0.20,0.00,0.70,0.90,0.00,0.50,1.2,0.95,,,0.00,LB
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
Marc Guéhi,eng ENG,DF,Manchester City,25,2000,15.0,15,1,15.0,15.0,0.07,0.07,0.13,0.00,0.73,1.33,0.00,0.47,1.67,0.8,,,0.00,LB
Evann Guessand,ci CIV,MF,Crystal Palace,24,2001,8.0,3,330,3.7,0.27,0.27,0.54,0.00,0.00,1.08,2.16,0.27,0.27,0.54,0.54,,,0.00,CM
Evann Guessand,ci CIV,MF,Aston Villa,24,2001,13.0,6,588,6.5,0.0,0.15,0.15,0.00,0.00,1.69,1.85,0.00,1.54,0.46,1.38,,,0.00,CM
Luis Guilherme,br BRA,FW,West Ham United,19,2006,5.0,1,125,1.4,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.71,,,0.00,IF
Bruno Guimarães,br BRA,MF,Newcastle United,27,1997,29.0,27,2,27.3,27.3,0.33,0.18,0.22,0.00,1.65,2.75,0.07,3.00,0.59,1.5,,,0.00,CM
Marc Guiu,es ESP,FW,Sunderland,19,2006,2.0,0,15,0.2,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,,,0.00,IF
Marc Guiu,es ESP,FW,Chelsea,19,2006,8.0,1,257,2.9,0.0,0.34,0.34,0.34,0.00,3.10,0.69,0.69,0.00,0.0,0.0,,,0.00,IF
Angus Gunn,sct SCO,GK,Nottingham Forest,29,1996,1.0,0,45,0.5,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,,,0.00,GK
Malo Gusto,fr FRA,DF,MF,Chelsea,22,2003.0,34,26,2003,261.0,25.1,0.08,25.1,0.20,0.04,0.80,0.80,0.04,2.31,1.2,0.92,,,CB
Joško Gvardiol,hr CRO,DF,Manchester City,23,2002,18.0,16,1,15.2,15.2,0.13,0.13,0.13,0.00,1.05,0.46,0.00,0.13,1.05,0.86,,,0.00,LB
Viktor Gyökeres,se SWE,FW,Arsenal,27,1998,36.0,26,2,24.7,24.7,0.57,0.04,0.20,0.00,1.42,1.26,0.16,0.32,0.04,0.2,,,0.00,ST
Erling Haaland,no NOR,FW,Manchester City,25,2000,35.0,34,2,32.8,32.8,0.82,0.24,0.06,0.00,0.73,0.76,0.15,0.09,0.12,0.21,,,0.00,ST
Lewis Hall,eng ENG,DF,Newcastle United,20,2004,30.0,24,2,24.2,24.2,0.04,0.04,0.17,0.00,0.70,1.65,0.00,4.21,1.2,1.28,,,0.00,CB
Jack Harrison,eng ENG,FW,Leeds United,28,1996,11.0,1,269,3.0,0.0,0.0,0.00,0.00,0.00,0.33,1.33,0.00,5.67,1.33,0.67,,,0.00,IF
Quilindschy Hartman,nl NED,DF,Burnley,23,2001,21.0,21,1,20.3,20.3,0.0,0.25,0.05,0.00,0.64,0.15,0.05,3.65,1.58,1.53,,,0.00,LB
Jorrel Hato,nl NED,DF,Chelsea,19,2006,22.0,12,1,12.8,12.8,0.0,0.00,0.55,0.00,1.17,0.16,0.00,0.55,1.33,1.48,,,0.00,LB
Kai Havertz,de GER,FW,MF,Arsenal,26,1999.0,12,7,1999,6.5,0.31,0.46,6.5,0.15,0.00,1.23,1.23,0.46,0.92,0.15,0.77,,,IF
Ayden Heaven,eng ENG,DF,Manchester Utd,18,2006,17.0,11,924,10.3,0.0,0.1,0.10,0.19,0.00,0.68,0.87,0.00,0.10,0.1,1.26,,,0.10,LB
Jan Paul van Hecke,nl NED,DF,Brighton,25,2000,36.0,36,3,35.7,35.7,0.08,0.08,0.25,0.00,0.76,1.20,0.11,0.64,1.26,0.87,,,0.03,CB
Hwang Hee-chan,kr KOR,FW,MF,Wolves,29,1996.0,26,18,1996,446.0,16.1,0.12,16.1,0.31,0.00,1.74,1.12,0.56,1.18,0.75,0.25,,,IF
George Hemmings,eng ENG,MF,Aston Villa,18,2007,2.0,0,27,0.3,0.0,0.0,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.0,0.0,,,0.00,CM
Dean Henderson,eng ENG,GK,Crystal Palace,28,1997,37.0,37,3,37.0,37.0,0.0,0.00,0.14,0.00,0.05,0.14,0.00,0.00,0.03,0.0,,,0.00,GK
Jordan Henderson,eng ENG,MF,Brentford,35,1990,32.0,22,1,21.3,21.3,0.05,0.14,0.28,0.00,0.61,0.33,0.05,2.25,0.75,0.66,,,0.00,CM
Rico Henry,jm JAM,DF,Brentford,28,1997,25.0,14,1,14.8,14.8,0.0,0.07,0.14,0.00,1.01,1.15,0.14,1.76,0.47,0.74,,,0.00,CB
Mads Hermansen,dk DEN,GK,West Ham United,25,2000,18.0,18,1,18.0,18.0,0.0,0.06,0.00,0.00,0.00,0.11,0.00,0.00,0.0,0.0,,,0.00,GK
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
Aaron Hickey,sct SCO,DF,MF,Brentford,23,2002.0,21,8,2002,7.7,0.0,0.00,7.7,0.13,0.00,0.91,1.17,0.00,0.52,1.04,0.91,,,DM
James Hill,eng ENG,DF,Bournemouth,23,2002,29.0,22,2,23.4,23.4,0.0,0.13,0.21,0.00,0.73,0.56,0.09,0.47,1.58,0.85,,,0.09,LB
Piero Hincapié,ec ECU,DF,Arsenal,23,2002,25.0,20,1,19.9,19.9,0.05,0.10,0.10,0.00,0.90,0.70,0.05,1.66,1.31,1.31,,,0.05,LB
Jack Hinshelwood,eng ENG,MF,Brighton,20,2005,27.0,20,1,19.3,19.3,0.21,0.16,0.00,0.00,1.66,0.62,0.10,0.36,0.31,0.67,,,0.05,CM
Ki-Jana Hoever,nl NED,MF,DF,Wolves,23,2002.0,8,6,2002,4.7,0.0,0.00,4.7,0.00,0.00,0.64,0.64,0.21,4.68,1.06,2.34,,,CM
Harry Howell,eng ENG,MF,Brighton,17,2008,3.0,1,94,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,1.00,4.00,0.0,0.0,,,0.00,CM
Callum Hudson-Odoi,eng ENG,MF,Nottingham Forest,24,2000,30.0,21,1,20.5,20.5,0.15,0.20,0.00,0.00,0.59,0.59,0.10,4.44,0.39,0.34,,,0.00,CM
Will Hughes,eng ENG,MF,Crystal Palace,30,1995,31.0,19,1,17.5,17.5,0.0,0.00,0.40,0.00,1.37,1.43,0.00,2.57,0.86,0.91,,,0.00,CM
Trai Hume,nir NIR,DF,MF,Sunderland,23,2002.0,38,34,2002,36.0,33.7,0.06,33.7,0.27,0.00,0.89,1.13,0.09,2.61,0.74,1.36,,,LB
Bashir Humphreys,eng ENG,DF,MF,Burnley,22,2003.0,20,17,2003,578.0,17.5,0.00,17.5,0.34,0.00,0.80,0.57,0.11,0.97,0.63,0.97,,,CM
Omari Hutchinson,eng ENG,MF,Nottingham Forest,21,2003,31.0,17,1,18.8,18.8,0.05,0.27,0.05,0.00,1.22,1.28,0.43,7.07,0.59,0.59,,,0.00,CM
Igor,br BRA,DF,West Ham United,27,1998,4.0,1,105,1.2,0.0,0.0,0.00,0.00,0.00,0.83,0.00,0.00,0.00,0.83,0.0,,,0.00,LB
Tim Iroegbunam,eng ENG,MF,Everton,22,2003,29.0,17,1,16.5,16.5,0.0,0.12,0.55,0.00,1.76,1.21,0.00,0.18,1.33,2.67,,,0.00,CM
Andy Irving,sct SCO,MF,West Ham United,25,2000,7.0,2,158,1.8,0.0,0.0,0.00,0.00,0.00,0.56,0.00,0.00,6.67,0.56,2.22,,,0.00,CM
Alexander Isak,se SWE,FW,Liverpool,25,1999,14.0,8,699,7.8,0.38,0.13,0.51,0.00,0.00,0.64,0.13,0.00,0.26,0.0,0.77,,,0.00,IF
Wilson Isidor,ht HAI,FW,Sunderland,24,2000,32.0,11,1,12.9,12.9,0.47,0.00,0.08,0.00,1.09,0.54,0.78,0.00,0.16,0.62,,,0.00,ST
Alex Iwobi,ng NGA,MF,Fulham,29,1996,29.0,29,2,26.9,26.9,0.15,0.11,0.11,0.00,0.30,0.37,0.04,3.27,0.56,0.67,,,0.00,CM
Daniel James,wls WAL,FW,MF,Leeds United,27,1997.0,19,6,1997,6.2,0.0,0.00,6.2,0.00,0.00,0.16,1.29,0.16,8.06,0.16,0.81,,,IF
Reece James,eng ENG,DF,MF,Chelsea,25,1999.0,29,20,1999,963.0,21.8,0.09,21.8,0.18,0.00,1.19,1.01,0.05,5.78,1.47,1.51,,,CB
Vitaly Janelt,de GER,MF,Brentford,27,1998,25.0,15,1,16.0,16.0,0.06,0.25,0.50,0.00,1.25,0.81,0.00,3.81,1.69,1.06,,,0.00,CM
Mathias Jensen,dk DEN,MF,Brentford,29,1996,36.0,26,2,25.0,25.0,0.12,0.04,0.12,0.00,0.80,0.60,0.08,4.96,0.84,0.92,,,0.00,CM
Gabriel Jesus,br BRA,FW,Arsenal,28,1997,14.0,3,429,4.8,0.63,0.0,0.63,0.63,0.00,1.88,0.21,1.46,0.00,0.42,0.0,,,0.00,IF
Igor Jesus,br BRA,FW,Nottingham Forest,24,2001,37.0,28,2,25.5,25.5,0.24,0.16,0.08,0.00,1.65,1.57,0.43,0.39,0.08,0.63,,,0.00,ST
Álex Jiménez,es ESP,DF,MF,Bournemouth,20,2005.0,31,26,2005,317.0,25.7,0.04,25.7,0.39,0.00,1.36,0.78,0.00,1.98,1.05,1.75,,,LB
Raúl Jiménez,mx MEX,FW,Fulham,34,1991,36.0,27,2,24.3,24.3,0.37,0.12,0.21,0.00,1.89,1.40,0.82,0.29,0.29,0.82,,,0.00,ST
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
Jamaldeen Jimoh,eng ENG,MF,Aston Villa,18,2006,1.0,0,9,0.1,0.0,0.0,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.0,0.0,,,0.00,CM
João Pedro,br BRA,FW,MF,Chelsea,23,2001.0,35,31,2001,661.0,29.6,0.51,29.6,0.17,0.00,1.28,1.86,0.54,0.61,0.2,0.57,,,IF
Joelinton,br BRA,MF,Newcastle United,28,1996,27.0,23,1,21.7,21.7,0.09,0.05,0.46,0.00,2.12,1.24,0.05,0.51,1.29,1.06,,,0.00,CM
John,br BRA,GK,Nottingham Forest,29,1996,5.0,5,437,4.9,0.0,0.0,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.0,0.0,,,0.00,GK
Brennan Johnson,wls WAL,MF,FW,Tottenham Hotspur,24,2001.0,16,6,2001,6.8,0.29,0.00,6.8,0.29,0.00,0.29,0.59,1.18,3.38,0.29,1.32,,,CM
Brennan Johnson,wls WAL,MF,FW,Crystal Palace,24,2001.0,18,13,2001,112.0,12.4,0.00,12.4,0.32,0.00,1.45,0.89,0.48,3.63,0.16,0.56,,,CM
Sam Johnstone,eng ENG,GK,Wolves,32,1993,12.0,12,1,12.0,12.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.08,,,0.08,GK
Curtis Jones,eng ENG,MF,DF,Liverpool,24,2001.0,34,18,2001,937.0,21.5,0.05,21.5,0.09,0.00,0.79,1.35,0.00,0.74,0.84,1.07,,,CM
Eli Junior Kroupi,fr FRA,MF,FW,Bournemouth,19,2006.0,33,21,2006,672.0,18.6,0.70,18.6,0.27,0.00,1.45,0.65,0.32,0.54,0.48,0.32,,,CM
Hamed Junior Traorè,ci CIV,MF,Bournemouth,25,2000,1.0,0,17,0.2,0.0,5.0,5.00,0.00,0.00,0.00,0.00,0.00,5.00,0.0,0.0,,,0.00,AM
James Justin,eng ENG,DF,MF,Leeds United,27,1998.0,29,21,1998,901.0,21.1,0.09,21.1,0.19,0.00,0.62,1.47,0.09,1.8,1.23,1.80,,,LB
Filip Jørgensen,dk DEN,GK,Chelsea,23,2002,5.0,3,379,4.2,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.0,,,0.00,GK
Ferdi Kadioglu,tr TUR,DF,MF,Brighton,25,1999.0,37,34,1999,133.0,34.8,0.03,34.8,0.17,0.00,0.63,1.03,0.20,3.13,0.72,1.12,,,LB
Sasa Kalajdzic,at AUT,FW,MF,Wolves,28,1997.0,1,0,1997,0.2,0.0,0.00,0.2,0.00,0.00,0.00,0.00,0.00,0.0,5.0,0.00,,,IF
Arnaud Kalimuendo,fr FRA,FW,Nottingham Forest,23,2002,9.0,0,96,1.1,0.0,0.0,0.00,0.00,0.00,1.82,0.00,0.91,1.82,0.0,0.91,,,0.00,IF
Daichi Kamada,jp JPN,MF,Crystal Palace,28,1996,28.0,22,1,21.1,21.1,0.0,0.00,0.14,0.00,1.42,1.33,0.05,1.99,0.66,1.66,,,0.00,CM
Boubacar Kamara,fr FRA,MF,Aston Villa,25,1999,18.0,17,1,15.7,15.7,0.06,0.19,0.32,0.00,1.02,1.91,0.00,0.13,0.96,1.02,,,0.00,CM
Mohamadou Kanté,fr FRA,MF,West Ham United,19,2005,11.0,0,75,0.8,0.0,0.0,0.00,2.50,0.00,5.00,1.25,0.00,0.00,0.0,5.0,,,0.00,CM
Michael Kayode,it ITA,DF,Brentford,21,2004,37.0,37,3,36.2,36.2,0.03,0.03,0.22,0.00,0.72,1.38,0.03,1.55,1.08,1.3,,,0.03,LB
Michael Keane,eng ENG,DF,Everton,32,1993,33.0,29,2,28.8,28.8,0.1,0.03,0.03,0.03,0.56,0.21,0.00,0.03,1.28,0.83,,,0.00,LB
Caoimhín Kelleher,ie IRL,GK,Brentford,26,1998,37.0,37,3,37.0,37.0,0.0,0.00,0.03,0.00,0.08,0.16,0.00,0.00,0.03,0.0,,,0.00,GK
Milos Kerkez,hu HUN,DF,Liverpool,21,2003,34.0,27,2,25.1,25.1,0.08,0.04,0.16,0.00,0.88,1.20,0.16,3.15,0.6,1.04,,,0.00,CB
Kevin,br BRA,MF,Fulham,22,2003,26.0,9,1,11.6,11.6,0.09,0.09,0.09,0.00,1.21,1.47,0.26,3.71,0.78,0.86,,,0.00,CM
Abdukodir Khusanov,uz UZB,DF,Manchester City,21,2004,21.0,15,1,15.9,15.9,0.0,0.00,0.13,0.00,0.88,0.38,0.00,0.19,1.82,1.26,,,0.00,LB
Max Kilman,eng ENG,DF,West Ham United,28,1997,21.0,17,1,17.3,17.3,0.0,0.00,0.23,0.00,0.92,0.12,0.00,0.12,0.35,0.46,,,0.00,LB
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
Joshua King,eng ENG,MF,Fulham,18,2007,32.0,15,1,14.5,14.5,0.07,0.14,0.28,0.00,0.90,2.07,0.21,0.83,0.21,0.83,,,0.00,CM
Antonín Kinský,cz CZE,GK,Tottenham Hotspur,22,2003,7.0,7,630,7.0,0.0,0.0,0.00,0.14,0.00,0.00,0.14,0.00,0.00,0.0,0.0,,,0.00,GK
Justin Kluivert,nl NED,MF,Bournemouth,26,1999,20.0,10,952,10.6,0.19,0.0,0.19,0.47,0.00,1.70,0.94,0.09,3.77,0.38,0.66,,,0.00,CM
Joe Knight,eng ENG,MF,Brighton,19,2005,1.0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,,,0,CM
Randal Kolo Muani,fr FRA,FW,MF,Tottenham Hotspur,26,1998.0,30,21,1998,664.0,18.5,0.05,18.5,0.16,0.00,2.22,0.92,0.16,0.97,0.11,0.86,,,IF
Ibrahima Konaté,fr FRA,DF,Liverpool,26,1999,36.0,36,3,34.3,34.3,0.03,0.00,0.20,0.00,0.96,1.20,0.00,0.09,0.82,0.9,,,0.00,CB
Ezri Konsa,eng ENG,DF,Aston Villa,27,1997,34.0,34,3,33.7,33.7,0.0,0.00,0.00,0.03,0.33,1.25,0.00,0.15,0.65,0.24,,,0.00,LB
Charalampos Kostoulas,gr GRE,FW,Brighton,18,2007,21.0,2,369,4.1,0.49,0.24,0.73,0.49,0.00,1.71,1.71,0.98,1.46,0.24,1.46,,,0.00,IF
Mateo Kovačić,hr CRO,MF,Manchester City,31,1994,6.0,1,130,1.4,0.0,0.71,0.71,0.00,0.00,0.00,1.43,0.00,0.00,1.43,0.71,,,0.00,CM
