Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Tkl,Int,TklW,Recoveries,Gls_per_90,Ast_per_90
148,Cheick Doucouré,ml MLI,MF,Crystal Palace,24.0,2000.0,13,4,452,5.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,19,7,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,7,4,4,24,0.0,0.0
149,Flynn Downes,eng ENG,MF,Southampton,25.0,1999.0,27,25,2151,23.9,1,0,1,1,0,0,12,0,0.6,0.6,1.1,1.7,29,66,29,0.04,0.0,0.04,0.04,0.04,0.03,0.05,0.07,0.03,0.07,55,29,41,190,0.0418410041841004,0.0
150,Tommy Doyle,eng ENG,MF,Wolves,22.0,2001.0,24,3,488,5.4,0,1,1,0,0,0,1,0,0.6,0.6,0.5,1.1,6,40,4,0.0,0.18,0.18,0.0,0.18,0.1,0.09,0.2,0.1,0.2,11,6,7,36,0.0,0.1844262295081967
151,Radu Drăgușin,ro ROU,DF,Tottenham,22.0,2002.0,16,14,1252,13.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,7,37,2,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,37,22,27,117,0.0,0.0
152,Martin Dúbravka,sk SVK,GK,Newcastle Utd,35.0,1989.0,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,42,0.0,0.0
153,Lewis Dunk,eng ENG,DF,Brighton,32.0,1991.0,25,23,2083,23.1,0,0,0,0,0,0,5,0,0.8,0.8,0.5,1.3,20,142,3,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,62,37,46,197,0.0,0.0
154,Jáder Durán,co COL,FW,Aston Villa,20.0,2003.0,20,4,638,7.1,7,0,7,7,0,0,3,1,4.9,4.9,0.2,5.1,7,13,44,0.99,0.0,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71,6,3,4,25,0.987460815047022,0.0
155,Claudio Echeverri,ar ARG,FW,Manchester City,18.0,2006.0,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
156,Ederson,br BRA,GK,Manchester City,30.0,1993.0,26,26,2320,25.8,0,4,4,0,0,0,4,0,0.0,0.0,1.5,1.5,0,2,0,0.0,0.16,0.16,0.0,0.16,0.0,0.06,0.06,0.0,0.06,2,5,1,81,0.0,0.1551724137931034
157,George Edmundson,eng ENG,DF,Ipswich Town,26.0,1997.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
158,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,26.0,1998.0,2,1,115,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3,4,7,0.0,0.0,0.0,0.0,0.0,0.31,0.04,0.34,0.31,0.34,2,1,1,8,0.0,0.0
159,Odsonne Édouard,fr FRA,FW,Leicester City,26.0,1998.0,4,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,0,0,0,1,0.0,0.0
160,Samuel Edozie,eng ENG,"DF,FW",Southampton,21.0,2003.0,2,0,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,4,23,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,1,1,1,5,0.0,0.0
161,Ronnie Edwards,eng ENG,DF,Southampton,21.0,2003.0,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0
162,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22.0,2002.0,38,31,2501,27.8,6,11,17,6,0,0,1,0,4.5,4.5,5.7,10.1,102,63,229,0.22,0.4,0.61,0.22,0.61,0.16,0.2,0.36,0.16,0.36,29,13,21,112,0.2159136345461815,0.3958416633346661
163,Harvey Elliott,eng ENG,MF,Liverpool,21.0,2003.0,18,2,371,4.1,1,2,3,1,0,0,1,0,1.8,1.8,1.1,2.8,10,44,30,0.24,0.49,0.73,0.24,0.73,0.43,0.26,0.69,0.43,0.69,8,4,5,27,0.2425876010781671,0.4851752021563342
164,Yunus Emre Konak,tr TUR,"FW,MF",Brentford,18.0,2006.0,10,0,42,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,2,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,0,0,0,2,0.0,0.0
165,Julio Enciso,py PAR,"MF,FW",Ipswich Town,20.0,2004.0,13,12,869,9.7,2,3,5,2,0,0,3,0,1.7,1.7,1.4,3.1,23,28,44,0.21,0.31,0.52,0.21,0.52,0.18,0.14,0.32,0.18,0.32,18,10,12,62,0.2071346375143843,0.3107019562715765
166,Julio Enciso,py PAR,"MF,FW",Brighton,20.0,2004.0,12,2,294,3.3,0,0,0,0,0,0,0,0,1.0,1.0,0.2,1.2,11,14,17,0.0,0.0,0.0,0.0,0.0,0.31,0.07,0.38,0.31,0.38,6,3,4,21,0.0,0.0
167,Wataru Endo,jp JPN,"MF,DF",Liverpool,31.0,1993.0,20,1,273,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,19,8,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,6,3,4,19,0.0,0.0
168,Christian Eriksen,dk DEN,MF,Manchester Utd,32.0,1992.0,23,11,1061,11.8,1,2,3,0,1,1,4,0,1.4,0.6,3.2,3.8,13,55,29,0.08,0.17,0.25,0.0,0.17,0.12,0.27,0.39,0.05,0.32,18,9,10,62,0.0848256361922714,0.1696512723845429
169,Romain Esse,eng ENG,MF,Crystal Palace,19.0,2005.0,7,1,138,1.5,1,1,2,1,0,0,0,0,0.3,0.3,0.4,0.7,1,7,14,0.65,0.65,1.3,0.65,1.3,0.21,0.27,0.48,0.21,0.48,3,2,2,11,0.6521739130434783,0.6521739130434783
170,Pervis Estupiñán,ec ECU,DF,Brighton,26.0,1998.0,30,26,2402,26.7,1,1,2,1,0,0,5,0,1.2,1.2,2.1,3.3,59,132,112,0.04,0.04,0.07,0.04,0.07,0.04,0.08,0.12,0.04,0.12,62,37,42,198,0.0374687760199833,0.0374687760199833
171,Evanilson,br BRA,FW,Bournemouth,24.0,1999.0,31,28,2319,25.8,10,1,11,10,0,1,1,1,12.5,11.7,1.9,13.6,29,28,99,0.39,0.04,0.43,0.39,0.43,0.48,0.07,0.56,0.45,0.53,25,11,17,97,0.3880983182406209,0.0388098318240621
172,Jake Evans,0,FW,Leicester City,0.0,0.0,4,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0
173,Jonny Evans,nir NIR,DF,Manchester Utd,36.0,1988.0,7,3,315,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,10,3,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,7,4,4,22,0.0,0.0
174,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26.0,1998.0,34,31,2588,28.8,8,8,16,7,1,2,1,0,10.5,8.9,6.2,15.1,69,97,153,0.28,0.28,0.56,0.24,0.52,0.36,0.22,0.58,0.31,0.53,60,32,41,206,0.2782071097372488,0.2782071097372488
175,Łukasz Fabiański,pl POL,GK,West Ham,39.0,1985.0,14,13,1160,12.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,40,0.0,0.0
176,Wout Faes,be BEL,DF,Leicester City,26.0,1998.0,34,30,2815,31.3,1,0,1,1,0,0,4,0,1.5,1.5,0.1,1.6,12,86,1,0.03,0.0,0.03,0.03,0.03,0.05,0.0,0.05,0.05,0.05,58,34,34,186,0.0319715808170515,0.0
177,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20.0,2004.0,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.0,0.31,0.31,0.0,0.31,0.06,0.24,0.31,0.06,0.31,5,2,3,18,0.0,0.310880829015544
178,João Félix,pt POR,"FW,MF",Chelsea,24.0,1999.0,12,3,369,4.1,1,1,2,1,0,0,2,0,2.2,2.2,1.0,3.2,21,26,30,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78,4,2,3,17,0.2439024390243902,0.2439024390243902
179,Evan Ferguson,ie IRL,FW,West Ham,19.0,2004.0,8,1,156,1.7,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.9,1,1,7,0.0,0.0,0.0,0.0,0.0,0.32,0.17,0.5,0.32,0.5,2,1,1,6,0.0,0.0
180,Evan Ferguson,ie IRL,FW,Brighton,19.0,2004.0,13,2,246,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.4,1.0,2,1,9,0.37,0.0,0.37,0.37,0.37,0.2,0.15,0.35,0.2,0.35,3,1,2,10,0.3658536585365854,0.0
181,Bruno Fernandes,pt POR,MF,Manchester Utd,29.0,1994.0,36,35,3018,33.5,8,10,18,5,3,3,5,2,9.9,7.6,8.5,16.1,77,325,129,0.24,0.3,0.54,0.15,0.45,0.3,0.25,0.55,0.23,0.48,71,37,50,244,0.2385685884691848,0.2982107355864811
182,Mateus Fernandes,pt POR,MF,Southampton,20.0,2004.0,36,34,2909,32.3,2,4,6,2,0,0,8,0,4.0,4.0,3.0,7.0,76,145,108,0.06,0.12,0.19,0.06,0.19,0.12,0.09,0.22,0.12,0.22,61,32,40,209,0.0618769336541766,0.1237538673083533
183,Enzo Fernández,ar ARG,MF,Chelsea,23.0,2001.0,36,32,2947,32.7,6,7,13,6,0,0,8,0,6.1,6.1,6.8,12.9,60,212,126,0.18,0.21,0.4,0.18,0.4,0.19,0.21,0.39,0.19,0.39,74,39,54,255,0.1832371903630811,0.2137767220902613
184,Mark Flekken,nl NED,GK,Brentford,31.0,1993.0,37,37,3275,36.4,0,2,2,0,0,0,1,0,0.0,0.0,0.5,0.5,0,0,0,0.0,0.05,0.05,0.0,0.05,0.0,0.01,0.01,0.0,0.01,4,8,3,142,0.0,0.0549618320610687
185,Phil Foden,eng ENG,"MF,FW",Manchester City,24.0,2000.0,28,20,1777,19.7,7,2,9,7,0,0,2,0,5.2,5.2,4.8,9.9,50,103,128,0.35,0.1,0.46,0.35,0.46,0.26,0.24,0.5,0.26,0.5,41,22,28,140,0.3545301069217782,0.1012943162633652
186,Wesley Fofana,fr FRA,DF,Chelsea,23.0,2000.0,14,14,1172,13.0,0,0,0,0,0,0,7,0,0.4,0.4,0.4,0.8,19,32,4,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.07,0.03,0.06,23,14,13,74,0.0,0.0
187,Carlos Forbs,pt POR,"MF,FW",Wolves,20.0,2004.0,10,1,239,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,10,8,28,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.07,0.05,0.07,6,3,4,20,0.0,0.0
188,Fraser Forster,eng ENG,GK,Tottenham,36.0,1988.0,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,29,0.0,0.0
189,Matheus França,br BRA,"MF,FW",Crystal Palace,20.0,2004.0,4,0,55,0.6,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,4,3,4,1.64,0.0,1.64,1.64,1.64,0.42,0.0,0.42,0.42,0.42,1,0,1,3,1.6363636363636362,0.0
190,Ryan Fraser,sct SCO,"FW,DF",Southampton,30.0,1994.0,8,4,306,3.4,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,10,8,18,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,3,1,2,11,0.0,0.0
191,Tyler Fredricson,eng ENG,DF,Manchester Utd,19.0,2005.0,2,2,165,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,2,11,0.0,0.0
192,Niclas Füllkrug,de GER,FW,West Ham,31.0,1993.0,18,6,790,8.8,3,2,5,3,0,0,2,0,2.2,2.2,1.9,4.1,7,14,31,0.34,0.23,0.57,0.34,0.57,0.25,0.22,0.46,0.25,0.46,10,4,7,37,0.3417721518987341,0.2278481012658227
193,Cody Gakpo,nl NED,FW,Liverpool,25.0,1999.0,35,23,1935,21.5,10,4,14,10,0,0,5,0,7.1,7.1,4.4,11.5,59,52,278,0.47,0.19,0.65,0.47,0.65,0.33,0.2,0.53,0.33,0.53,20,9,13,77,0.4651162790697674,0.1860465116279069
194,Idrissa Gana Gueye,sn SEN,MF,Everton,34.0,1989.0,37,35,3063,34.0,0,3,3,0,0,0,9,0,1.1,1.1,1.7,2.8,27,145,27,0.0,0.09,0.09,0.0,0.09,0.03,0.05,0.08,0.03,0.08,73,38,51,248,0.0,0.0881488736532811
195,Andrés García,es ESP,"DF,MF",Aston Villa,21.0,2003.0,7,5,318,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,26,15,28,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,6,4,3,20,0.0,0.0
196,Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20.0,2004.0,36,23,2199,24.4,6,2,8,6,0,0,3,0,7.3,7.3,4.5,11.8,141,56,290,0.25,0.08,0.33,0.25,0.33,0.3,0.19,0.48,0.3,0.48,35,19,19,121,0.2455661664392905,0.0818553888130968
197,James Garner,eng ENG,"MF,DF",Everton,23.0,2001.0,21,17,1594,17.7,0,1,1,0,0,0,5,0,0.7,0.7,1.4,2.1,15,50,30,0.0,0.06,0.06,0.0,0.06,0.04,0.08,0.12,0.04,0.12,38,20,27,129,0.0,0.0564617314930991
198,Tyrique George,eng ENG,FW,Chelsea,18.0,2006.0,8,1,183,2.0,1,1,2,1,0,0,1,0,0.2,0.2,0.7,0.9,9,3,22,0.49,0.49,0.98,0.49,0.98,0.1,0.36,0.46,0.1,0.46,1,1,1,6,0.4918032786885246,0.4918032786885246
199,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,24.0,2000.0,34,34,2803,31.1,7,8,15,7,0,0,11,1,6.3,6.3,5.0,11.2,69,164,136,0.22,0.26,0.48,0.22,0.48,0.2,0.16,0.36,0.2,0.36,68,36,48,232,0.2247591865858009,0.2568676418123439
200,Billy Gilmour,sct SCO,MF,Brighton,23.0,2001.0,2,1,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,2,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,2,1,1,8,0.0,0.0
201,Ben Godfrey,eng ENG,DF,Ipswich Town,26.0,1998.0,3,2,159,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,2,9,0.0,0.0
202,Martial Godo,eng ENG,"FW,DF",Fulham,21.0,2003.0,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,0,0,0,1,0.0,0.0
203,Michael Golding,eng ENG,MF,Leicester City,18.0,2006.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
204,João Gomes,br BRA,MF,Wolves,23.0,2001.0,36,35,2974,33.0,3,1,4,3,0,0,11,1,2.9,2.9,1.2,4.1,59,165,76,0.09,0.03,0.12,0.09,0.12,0.09,0.04,0.12,0.09,0.12,69,36,48,236,0.0907868190988567,0.0302622730329522
205,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21.0,2003.0,25,7,810,9.0,2,0,2,2,0,0,0,0,0.7,0.7,0.9,1.6,23,27,81,0.22,0.0,0.22,0.22,0.22,0.08,0.1,0.18,0.08,0.18,19,11,12,60,0.2222222222222222,0.0
206,Toti Gomes,pt POR,DF,Wolves,25.0,1999.0,31,30,2614,29.0,0,1,1,0,0,0,7,0,0.7,0.7,0.9,1.7,27,86,18,0.0,0.03,0.03,0.0,0.03,0.03,0.03,0.06,0.03,0.06,58,34,36,186,0.0,0.0344299923488905
207,Diego Gómez,py PAR,MF,Brighton,21.0,2003.0,16,4,516,5.7,1,0,1,1,0,0,0,0,0.9,0.9,0.7,1.6,8,27,23,0.17,0.0,0.17,0.17,0.17,0.15,0.13,0.28,0.15,0.28,11,6,7,36,0.1744186046511628,0.0
208,Joe Gomez,eng ENG,DF,Liverpool,27.0,1997.0,9,6,519,5.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,35,2,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,13,8,9,42,0.0,0.0
209,Nicolás González,es ESP,MF,Manchester City,22.0,2002.0,11,9,760,8.4,1,0,1,1,0,0,3,0,0.5,0.5,0.1,0.5,9,50,11,0.12,0.0,0.12,0.12,0.12,0.06,0.01,0.06,0.06,0.06,15,8,10,53,0.1184210526315789,0.0
210,Anthony Gordon,eng ENG,"FW,MF",Newcastle Utd,23.0,2001.0,34,28,2434,27.0,6,5,11,5,1,2,2,0,8.0,6.5,5.0,11.4,121,98,214,0.22,0.18,0.41,0.18,0.37,0.3,0.18,0.48,0.24,0.42,22,10,14,86,0.2218570254724733,0.1848808545603944
211,Ryan Gravenberch,nl NED,MF,Liverpool,22.0,2002.0,37,37,3160,35.1,0,4,4,0,0,0,6,1,1.1,1.1,3.1,4.2,70,181,55,0.0,0.11,0.11,0.0,0.11,0.03,0.09,0.12,0.03,0.12,58,30,35,198,0.0,0.1139240506329113
212,Archie Gray,eng ENG,"DF,MF",Tottenham,18.0,2006.0,28,19,1751,19.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,7,40,17,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,53,32,40,170,0.0,0.0
213,Jack Grealish,eng ENG,"FW,MF",Manchester City,28.0,1995.0,20,7,721,8.0,1,1,2,1,0,0,3,0,1.1,1.1,1.8,3.0,69,52,118,0.12,0.12,0.25,0.12,0.25,0.14,0.23,0.37,0.14,0.37,8,3,5,30,0.1248266296809986,0.1248266296809986
214,Jacob Greaves,eng ENG,DF,Ipswich Town,23.0,2000.0,25,25,2205,24.5,1,0,1,1,0,0,5,0,1.3,1.3,0.3,1.6,11,69,11,0.04,0.0,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06,60,36,42,192,0.0408163265306122,0.0
215,Brajan Gruda,de GER,"MF,FW",Brighton,20.0,2004.0,21,8,687,7.6,1,4,5,1,0,0,0,0,1.2,1.2,2.1,3.3,22,26,57,0.13,0.52,0.66,0.13,0.66,0.16,0.28,0.43,0.16,0.43,13,7,8,45,0.131004366812227,0.5240174672489083
216,Albert Grønbaek,dk DEN,"FW,MF",Southampton,23.0,2001.0,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,2,1,1,6,0.0,0.0
217,Gonçalo Guedes,pt POR,"MF,FW",Wolves,27.0,1996.0,29,10,995,11.1,2,4,6,2,0,0,1,0,3.2,3.2,1.3,4.5,41,40,79,0.18,0.36,0.54,0.18,0.54,0.29,0.11,0.4,0.29,0.4,21,11,14,72,0.1809045226130653,0.3618090452261306
218,Marc Guéhi,eng ENG,DF,Crystal Palace,24.0,2000.0,34,34,3059,34.0,3,2,5,3,0,0,9,1,2.0,2.0,1.8,3.7,22,134,10,0.09,0.06,0.15,0.09,0.15,0.06,0.05,0.11,0.06,0.11,93,55,70,297,0.088264138607388,0.058842759071592
219,Luis Guilherme,br BRA,"MF,FW",West Ham,18.0,2006.0,12,1,150,1.7,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,4,5,16,0.0,0.0,0.0,0.0,0.0,0.25,0.05,0.3,0.25,0.3,3,2,2,11,0.0,0.0
220,Bruno Guimarães,br BRA,MF,Newcastle Utd,26.0,1997.0,38,38,3271,36.3,5,6,11,5,0,0,7,0,4.3,4.3,6.1,10.4,64,271,96,0.14,0.17,0.3,0.14,0.3,0.12,0.17,0.29,0.12,0.29,64,34,40,219,0.1375726077652094,0.1650871293182512
221,Marc Guiu,es ESP,FW,Chelsea,18.0,2006.0,3,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,1,0,1,3,0.0,0.0
222,İlkay Gündoğan,de GER,MF,Manchester City,33.0,1990.0,33,25,2223,24.7,1,6,7,1,0,0,1,0,3.2,3.2,3.5,6.7,64,127,96,0.04,0.24,0.28,0.04,0.28,0.13,0.14,0.27,0.13,0.27,43,23,27,147,0.0404858299595141,0.242914979757085
223,Malo Gusto,fr FRA,DF,Chelsea,21.0,2003.0,32,19,1862,20.7,0,1,1,0,0,0,4,0,1.7,1.7,1.4,3.1,50,119,85,0.0,0.05,0.05,0.0,0.05,0.08,0.07,0.15,0.08,0.15,54,32,39,173,0.0,0.0483351235230934
224,Joško Gvardiol,hr CRO,DF,Manchester City,22.0,2002.0,37,36,3277,36.4,5,0,5,5,0,0,2,0,4.6,4.3,2.1,6.3,91,264,121,0.14,0.0,0.14,0.14,0.14,0.13,0.06,0.18,0.12,0.17,87,51,60,277,0.137320720170888,0.0
225,Erling Haaland,no NOR,FW,Manchester City,24.0,2000.0,31,31,2736,30.4,22,3,25,19,3,4,2,0,22.0,18.8,3.0,21.8,24,20,124,0.72,0.1,0.82,0.62,0.72,0.72,0.1,0.82,0.62,0.72,26,12,16,101,0.7236842105263157,0.0986842105263157
226,Lewis Hall,eng ENG,DF,Newcastle Utd,19.0,2004.0,27,24,2189,24.3,0,4,4,0,0,0,3,0,0.4,0.4,4.3,4.7,41,123,80,0.0,0.16,0.16,0.0,0.16,0.02,0.18,0.19,0.02,0.19,66,39,49,210,0.0,0.1644586569209684
227,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,22.0,2002.0,11,0,134,1.5,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.4,4,3,14,0.0,0.0,0.0,0.0,0.0,0.24,0.05,0.28,0.24,0.28,1,0,1,4,0.0,0.0
228,Marcus Harness,eng ENG,MF,Ipswich Town,28.0,1996.0,2,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,4,0.0,0.0
229,Jack Harrison,eng ENG,FW,Everton,27.0,1996.0,34,24,2076,23.1,1,0,1,1,0,0,0,0,3.5,3.5,3.7,7.2,73,51,127,0.04,0.0,0.04,0.04,0.04,0.15,0.16,0.31,0.15,0.31,22,10,15,87,0.0433526011560693,0.0
230,Taylor Harwood-Bellis,eng ENG,DF,Southampton,22.0,2002.0,34,32,2825,31.4,1,0,1,1,0,0,9,0,1.8,1.8,1.0,2.8,29,125,9,0.03,0.0,0.03,0.03,0.03,0.06,0.03,0.09,0.06,0.09,60,35,36,191,0.031858407079646,0.0
231,Kai Havertz,de GER,"FW,MF",Arsenal,25.0,1999.0,23,21,1875,20.8,9,3,12,9,0,0,5,0,9.5,9.5,2.4,12.0,35,61,113,0.43,0.14,0.58,0.43,0.58,0.46,0.12,0.57,0.46,0.57,19,8,12,74,0.4319999999999999,0.144
232,Ayden Heaven,eng ENG,DF,Manchester Utd,17.0,2006.0,4,2,170,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,1,7,1,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,5,3,3,15,0.0,0.0
